Bank,Year,Assets,NetProfit,NIC,ROA,Size,NIC_A,GDP,INF,EXC
Rabobank A.Ş.,2015,882352.0,27998.0,2912.0,0.0317311005131738,13.690346348343033,0.0033002701869548,5.8055738647945,7.6708536484588,2.7200162055336
Rabobank A.Ş.,2016,1196308.0,40786.0,5713.0,0.0340932268278737,13.994750705422431,0.0047755260351013,3.323665083597,7.7751341532833,3.0212450199203
Rabobank A.Ş.,2017,1418247.0,64729.0,6994.0,0.0456401458984224,14.164932159903657,0.0049314400100969,7.825857301125,11.144311084076,3.6476845849802
Rabobank A.Ş.,2018,1819639.0,68132.0,7296.0,0.0374425916349341,14.414148687730336,0.004009586516886,3.4681530563351,16.332463898893,4.8134494023904
Rabobank A.Ş.,2019,1734025.0,135462.0,13013.0,0.0781199809691325,14.36595585375041,0.0075045054137051,1.3016236542392,15.176821572002,5.6708297188755
Rabobank A.Ş.,2020,1835148.0,77104.0,14655.0,0.0420151399233195,14.422635690169406,0.007985731940966,1.8030624719627,12.278957446257,7.0090301587302
Rabobank A.Ş.,2021,2230457.0,135713.0,21118.0,0.0608453783238143,14.617717055175882,0.0094680148507682,11.811094450408,19.596492691332,8.8853682730924
Rabobank A.Ş.,2022,1422772.0,98174.0,38001.0,0.0690019201952245,14.168117639357591,0.0267091283775615,5.4412251147839,72.308835989121,16.563770238095
Rabobank A.Ş.,2023,1491356.0,94551.0,3468.0,0.0633993493169974,14.215196331175736,0.002325400507994,5.045123697229,53.859408759332,23.743790118577
Rabobank A.Ş.,2024,1904012.0,376661.0,-75.0,0.197824908666542,14.459473796834596,-3.939050804301654e-05,3.3276230886148,58.506450730034,32.7921452
Société Générale (SA),2002,158855.0,36.0,1854.0,0.0002266217619841,11.975747115437738,0.0116710207421862,6.4355088481566,,1.5058395256917
Société Générale (SA),2003,147120.98,13814.0,2063.0,0.0938955137465778,11.899010520484946,0.0140224732053851,5.7990932017934,,1.49306776
Société Générale (SA),2004,386983.0,6029.0,2763.0,0.0155794957401229,12.866136043398493,0.0071398485204776,9.9254055215426,8.5982616811527,1.4223412301587
Société Générale (SA),2005,444703.0,8352.0,2991.0,0.0187810741101364,13.005161922597011,0.0067258372441831,9.1115774633457,8.17916036802,1.3407909448819
Société Générale (SA),2006,656643.0,-15753.0,4224.0,-0.0239902047231143,13.394895770787446,0.0064327191487611,7.0676260779544,9.5972421228844,1.4311067729084
Société Générale (SA),2007,576055.0,-15003.0,4379.0,-0.0260443881226619,13.263958421230631,0.007601704698336,5.1081851387958,8.7561809097264,1.3015083333333
Société Générale (SA),2008,475830.0,-18521.0,5273.0,-0.03892356513881,13.072815926565715,0.0110816888384507,0.92011821604875,10.444128376489,1.2929075697211
Société Générale (SA),2009,360488.0,-16468.0,4496.0,-0.045682519251681,12.795213948051863,0.0124719824238254,-4.8826940134567,6.2509766309063,1.5470646825397
Société Générale (SA),2010,674270.0,4013.0,5394.0,0.0059516217538968,13.421385903150112,0.0079997627063342,8.5421984780215,8.5664442055297,1.500364
Société Générale (SA),2011,991916.0,11554.0,1964.0,0.0116481637558019,13.80739370526232,0.0019800063715072,10.979962531414,6.471879671151,1.67
Société Générale (SA),2012,593944.0,7474.0,-1255.0,0.0125836779224977,13.294540317806236,-0.0021129938175989,4.8076269705277,8.8915699651216,1.7924972332016
Société Générale (SA),2013,1258411.0,6105.0,542.0,0.0048513561944388,14.045360371946742,0.0004307018931016,8.4882568867256,7.493090305477,1.9013088
Société Générale (SA),2014,830820.0,-1145.0,-1541.0,-0.0013781565200645,13.630168443876814,-0.0018547940588815,4.6007944759306,8.8545727136432,2.1878581673307
Société Générale (SA),2015,466662.0,-13988.0,-146.0,-0.0299745854601403,13.053360505867378,-0.0003128602714598,5.8055738647945,7.6708536484588,2.7200162055336
Société Générale (SA),2016,294109.0,-37711.0,1370.0,-0.1282211697023892,12.59170572590997,0.0046581369492263,3.323665083597,7.7751341532833,3.0212450199203
Société Générale (SA),2017,478216.0,980.0,1853.0,0.0020492831691118,13.077817792250476,0.0038748180738411,7.825857301125,11.144311084076,3.6476845849802
Société Générale (SA),2018,761673.0,177.0,2985.0,0.000232383188061,13.54327260870623,0.0039190046122154,3.4681530563351,16.332463898893,4.8134494023904
Société Générale (SA),2019,171159.0,-1570.0,3107.0,-0.0091727574944934,12.050348228027124,0.0181527118059815,1.3016236542392,15.176821572002,5.6708297188755
Société Générale (SA),2020,104553.0,-2821.0,1762.0,-0.0269815308982047,11.557449398849696,0.0168526967184107,1.8030624719627,12.278957446257,7.0090301587302
Société Générale (SA),2021,127943.0,-6131.0,2104.0,-0.0479197767755953,11.759340131220698,0.0164448230852801,11.811094450408,19.596492691332,8.8853682730924
Société Générale (SA),2022,170146.0,3380.0,2351.0,0.01986529216085,12.044412170983897,0.0138175449319995,5.4412251147839,72.308835989121,16.563770238095
Société Générale (SA),2023,221569.0,4695.0,713.0,0.0211897873800035,12.308489332372758,0.003217959191042,5.045123697229,53.859408759332,23.743790118577
Société Générale (SA),2024,267598.0,5771.0,1014.0,0.0215659309860312,12.497241133366726,0.003789265988535,3.3276230886148,58.506450730034,32.7921452
Standard Chartered Yatırım Bankası Türk A.Ş.,2002,222268.0,-3436.0,-414.0,-0.0154588154840102,12.311639139972913,-0.0018626163010419,6.4355088481566,,1.5058395256917
Standard Chartered Yatırım Bankası Türk A.Ş.,2003,351349.0,-1494.0,-258.0,-0.0042521823030661,12.7695353104515,-0.0007343126065535,5.7990932017934,,1.49306776
Standard Chartered Yatırım Bankası Türk A.Ş.,2004,269564.0,-7144.0,48.0,-0.0265020551705717,12.50456111794694,0.0001780653202949,9.9254055215426,8.5982616811527,1.4223412301587
Standard Chartered Yatırım Bankası Türk A.Ş.,2005,648353.0,7799.0,2011.0,0.012028941024411,13.382190580096731,0.0031017053981395,9.1115774633457,8.17916036802,1.3407909448819
Standard Chartered Yatırım Bankası Türk A.Ş.,2006,269567.0,-3561.0,5986.0,-0.013210073933382,12.50457224696753,0.0222059821862468,7.0676260779544,9.5972421228844,1.4311067729084
Standard Chartered Yatırım Bankası Türk A.Ş.,2007,274219.0,1022.0,7869.0,0.003726948169164,12.521682336196973,0.0286960422144344,5.1081851387958,8.7561809097264,1.3015083333333
Standard Chartered Yatırım Bankası Türk A.Ş.,2008,70559.0,-469.0,7132.0,-0.0066469195992006,11.164204518244643,0.1010785300245184,0.92011821604875,10.444128376489,1.2929075697211
Standard Chartered Yatırım Bankası Türk A.Ş.,2009,64465.0,9538.0,18019.0,0.1479562553323508,11.07387771984494,0.2795160164430311,-4.8826940134567,6.2509766309063,1.5470646825397
Standard Chartered Yatırım Bankası Türk A.Ş.,2010,65950.0,5655.0,15085.0,0.0857467778620166,11.09665215814546,0.2287338893100834,8.5421984780215,8.5664442055297,1.500364
Standard Chartered Yatırım Bankası Türk A.Ş.,2011,74869.0,8061.0,15731.0,0.1076680602118366,11.22349519865096,0.2101136652018859,10.979962531414,6.471879671151,1.67
Standard Chartered Yatırım Bankası Türk A.Ş.,2012,68412.0,-4474.0,3101.0,-0.0653978834122668,11.13330352681958,0.0453283049757352,4.8076269705277,8.8915699651216,1.7924972332016
Standard Chartered Yatırım Bankası Türk A.Ş.,2013,73290.0,2453.0,-8.0,0.033469777595852,11.202179452919896,-0.000109155410015,8.4882568867256,7.493090305477,1.9013088
Standard Chartered Yatırım Bankası Türk A.Ş.,2014,76121.0,2828.0,-12.0,0.0371513774122778,11.24007945847566,-0.0001576437513958,4.6007944759306,8.8545727136432,2.1878581673307
Standard Chartered Yatırım Bankası Türk A.Ş.,2015,79216.0,4045.0,324.0,0.0510629165825085,11.279933577601204,0.0040900828115532,5.8055738647945,7.6708536484588,2.7200162055336
Standard Chartered Yatırım Bankası Türk A.Ş.,2016,80658.0,5899.0,-21.0,0.0731359567556844,11.297973272682308,-0.0002603585509186,3.323665083597,7.7751341532833,3.0212450199203
Standard Chartered Yatırım Bankası Türk A.Ş.,2017,83698.0,7133.0,-17.0,0.0852230638724939,11.334970361329477,-0.0002031111854524,7.825857301125,11.144311084076,3.6476845849802
Standard Chartered Yatırım Bankası Türk A.Ş.,2018,90804.0,26501.0,-17.0,0.2918483767234923,11.416458616482522,-0.000187216422184,3.4681530563351,16.332463898893,4.8134494023904
Standard Chartered Yatırım Bankası Türk A.Ş.,2019,109522.0,19661.0,-15.0,0.17951644418473,11.60388072130034,-0.0001369587845364,1.3016236542392,15.176821572002,5.6708297188755
Standard Chartered Yatırım Bankası Türk A.Ş.,2020,124320.0,15191.0,-15.0,0.1221927284427284,11.730614165601477,-0.0001206563706563,1.8030624719627,12.278957446257,7.0090301587302
Standard Chartered Yatırım Bankası Türk A.Ş.,2021,177502.0,39117.0,74090.0,0.2203749816903471,12.086737155439762,0.4174037475634077,11.811094450408,19.596492691332,8.8853682730924
Standard Chartered Yatırım Bankası Türk A.Ş.,2022,322857.0,75954.0,168795.0,0.235255856307901,12.684964779715182,0.522816603016196,5.4412251147839,72.308835989121,16.563770238095
Standard Chartered Yatırım Bankası Türk A.Ş.,2023,566098.0,84698.0,199987.0,0.149617204088338,13.2465224870738,0.3532727548940289,5.045123697229,53.859408759332,23.743790118577
Standard Chartered Yatırım Bankası Türk A.Ş.,2024,955952.0,334670.0,493480.0,0.3500907995380521,13.770462981567992,0.5162183875341021,3.3276230886148,58.506450730034,32.7921452
Tera Yatırım Bankası A.Ş.,2023,550887.0,26197.947600000003,-5621.0524000000005,0.047555937243028,13.21928498543324,-0.0102036395848876,5.045123697229,53.859408759332,23.743790118577
Tera Yatırım Bankası A.Ş.,2024,2633142.0,135038.0,12279.0,0.0512839793676148,14.783688367901556,0.0046632502159017,3.3276230886148,58.506450730034,32.7921452
